,time,displacement
0,2.0309999999999966,757.0883799567655
1,6.701999999999963,743.619516591046
2,11.186999999999902,731.5273811003493
3,15.83199999999983,720.6109574226532
4,20.54999999999993,710.7115376390644
5,24.58500000000016,701.6914812191254
6,28.635000000000343,693.4364555735908
7,32.658000000000605,685.8529652355343
8,37.77800000000078,678.8621552960099
9,42.28500000000096,672.3970533935192
10,46.537000000000994,666.4004125830063
11,50.844000000001046,660.8242561619055
12,55.0510000000011,655.629072016954
13,59.05400000000104,650.773216410429
