,a,b,c,,,,,,,
0,144.3052749,0.014565804,620.9092022,,,0.00000001000000000000000,0.014565804,,0.00000001000000000000000,63.65395184
1,168.7190326,0.018450166,594.5236046,,,0.00000002000000000000000,0.018450166,,0.00000002000000000000000,49.20005369
2,172.0573437,0.024615175,590.1863989,,,0.00000003000000000000000,0.024615175,,0.00000003000000000000000,35.62534671
3,174.9693927,0.02885646,586.5471083,,,0.00000004000000000000000,0.02885646,,0.00000004000000000000000,29.65428533
4,166.3684927,0.035720993,593.2224172,,,0.00000005000000000000000,0.035720993,,0.00000005000000000000000,22.99474236
5,191.6947268,0.032630605,566.7930226,,,0.00000006000000000000000,0.032630605,,0.00000006000000000000000,25.64607608
6,179.9386907,0.044321448,578.1681857,,,0.00000007000000000000000,0.044321448,,0.00000007000000000000000,17.56243964
7,191.2249061,0.041556906,566.0900762,,,0.00000008000000000000000,0.041556906,,0.00000008000000000000000,19.06338903
8,191.5518497,0.044039009,564.7068825,,,0.00000009000000000000000,0.044039009,,0.00000009000000000000000,17.70714134
9,191.4822598,0.050513252,568.398129,,,0.00000010000000000000000,0.050513252,,0.00000010000000000000000,14.79678509
10,201.5251996,0.045948711,554.9752849,,,0.00000011000000000000000,0.045948711,,0.00000011000000000000000,16.76339635
11,195.4544116,0.05239574,557.4750744,,,0.00000012000000000000000,0.05239574,,0.00000012000000000000000,14.08552121
12,183.5556567,0.063367469,566.832603,,,0.00000013000000000000000,0.063367469,,0.00000013000000000000000,10.780968
13,186.9025432,0.061348606,561.1444624,,,0.00000014000000000000000,0.061348606,,0.00000014000000000000000,11.30028882
14,187.4161542,0.067681626,559.9533943,,,0.00000015000000000000000,0.067681626,,0.00000015000000000000000,9.775058759
15,195.2480498,0.059366053,555.0634655,,,0.00000016000000000000000,0.059366053,,0.00000016000000000000000,11.84464348
16,189.8057748,0.064485818,554.7327623,,,0.00000017000000000000000,0.064485818,,0.00000017000000000000000,10.50728573
17,188.7179775,0.070151628,552.8733751,,,0.00000018000000000000000,0.070151628,,0.00000018000000000000000,9.254836765
18,200.6624575,0.069981269,551.7353858,,,0.00000019000000000000000,0.069981269,,0.00000019000000000000000,9.289537947
19,192.7245935,0.076433727,548.8053085,,,0.00000020000000000000000,0.076433727,,0.00000020000000000000000,8.083229527
20,192.0430546,0.082159868,550.2226742,,,0.00000021000000000000000,0.082159868,,0.00000021000000000000000,7.171392522
21,192.116643,0.076590381,545.7428905,,,0.00000022000000000000000,0.076590381,,0.00000022000000000000000,8.056469895
22,195.4625708,0.081278532,545.4861775,,,0.00000023000000000000000,0.081278532,,0.00000023000000000000000,7.303371892
23,195.9531337,0.082767113,543.6823568,,,0.00000024000000000000000,0.082767113,,0.00000024000000000000000,7.082093584
24,200.1135138,0.069874532,539.7636104,,,0.00000025000000000000000,0.069874532,,0.00000025000000000000000,9.311365963
25,198.0118341,0.074132274,545.2537224,,,0.00000026000000000000000,0.074132274,,0.00000026000000000000000,8.489401343
26,189.7441,0.082240325,543.036502,,,0.00000027000000000000000,0.082240325,,0.00000027000000000000000,7.159484985
27,193.4332523,0.064671649,536.8265738,,,0.00000028000000000000000,0.064671649,,0.00000028000000000000000,10.4627262
28,190.2174456,0.091069907,541.8438022,,,0.00000029000000000000000,0.091069907,,0.00000029000000000000000,5.980575656
29,191.2434124,0.088482496,538.9755415,,,0.00000030000000000000000,0.088482496,,0.00000030000000000000000,6.301670274
30,190.8748708,0.096688134,541.7839537,,,0.00000031000000000000000,0.096688134,,0.00000031000000000000000,5.342530733
31,188.2986593,0.094895301,539.8255612,,,0.00000032000000000000000,0.094895301,,0.00000032000000000000000,5.537929542
