,time,displacement,max_or_min
0,0.8320200000000001,59.78,1.0
1,2.8936900000000003,51.34,1.0
2,4.95348,46.94,1.0
3,6.90212,43.52,1.0
4,7.17841,43.42,1.0
5,8.96765,42.29,1.0
6,10.96221,40.07,1.0
7,13.09941,40.33,1.0
8,14.830929999999999,38.87,1.0
9,15.030320000000001,38.97,1.0
10,16.893279999999997,38.81,1.0
11,18.98349,38.81,1.0
12,20.810370000000002,37.42,1.0
13,21.01037,37.84,1.0
14,21.83062,31.67,1.0
15,22.858610000000002,37.89,1.0
16,24.707520000000002,36.37,1.0
17,24.91241,37.37,1.0
18,26.97007,37.47,1.0
19,28.83172,36.12,1.0
20,30.05926,32.97,1.0
21,30.82558,36.75,1.0
22,31.741590000000002,32.15,1.0
23,31.958779999999997,32.2,1.0
24,32.69115,36.24,1.0
25,32.944140000000004,36.44,1.0
26,34.02486,32.61,1.0
27,34.935759999999995,36.01,1.0
28,35.74968,33.02,1.0
29,36.84986,36.6,1.0
30,37.70868,32.92,1.0
31,37.93112,33.44,1.0
32,38.5268,35.62,1.0
33,38.85844,36.27,1.0
34,39.73464,33.18,1.0
35,40.59693,35.93,1.0
36,40.789,36.19,1.0
37,41.471059999999994,33.44,1.0
38,42.72164,35.82,1.0
39,43.238240000000005,34.52,1.0
40,43.560790000000004,33.18,1.0
41,43.75793,32.92,1.0
42,44.47661,35.6,1.0
43,44.67658,35.96,1.0
44,44.884859999999996,36.03,1.0
45,46.01682,33.75,1.0
46,46.42426,35.41,1.0
47,46.69148,35.41,1.0
48,46.86646,36.03,1.0
49,47.79084,32.92,1.0
50,47.98809,33.33,1.0
51,48.6991,36.24,1.0
52,48.89671,35.45,1.0
53,49.42197,33.49,1.0
54,49.72535,33.64,1.0
55,49.92085,33.64,1.0
56,50.17778,33.95,1.0
57,50.69959,35.03,1.0
58,51.38799,33.64,1.0
59,51.97933,33.87,1.0
60,52.246590000000005,34.67,1.0
61,52.62166,35.76,1.0
62,53.00893000000001,34.83,1.0
63,53.462869999999995,33.64,1.0
64,53.97778,33.8,1.0
65,54.29504,35.45,1.0
66,54.55359,35.65,1.0
67,54.81365,35.46,1.0
68,55.20776,34.36,1.0
69,55.60691,33.44,1.0
70,56.42465,35.29,1.0
71,56.611019999999996,35.14,1.0
