n,time,displacement,max_or_min
252,427.6223623,49.69,1
253,429.5158693,50.1,1
254,431.4232923,50.26,1
255,433.244101,49.59,1
256,435.2429094,49.64,1
257,437.0572166,50.36,1
258,439.0056698,49.74,1
259,440.92786,49.54,1
260,442.7445821,49.9,1
261,444.6271002,50.1,1
262,446.5665953,49.54,1
263,448.3977546,49.74,1
264,450.3981497,49.69,1
265,452.2262477,49.33,1
266,454.0821893,49.74,1
267,455.9498102,49.74,1
268,457.899002,49.59,1
269,459.742824,49.48,1
270,461.7283956,49.43,1
271,463.5824382,49.55,1
272,465.4329182,48.97,1
273,467.3757495,49.79,1
274,469.2469441,49.33,1
275,471.1146085,49.23,1
276,473.0497319,49.33,1
277,474.9319081,49.23,1
278,476.7439224,48.76,1
279,478.718635,49.18,1
280,480.5959832,49.23,1
281,482.4588148,48.92,1
282,484.382946,48.71,1
283,486.2552318,49.02,1
284,488.0995533,49.23,1
285,490.0430798,49.12,1
286,491.9333946,48.85,1
287,493.8728494,48.81,1
288,495.7328297,48.51,1
289,497.5647816,48.81,1
290,499.552011,48.71,1
291,501.3938958,48.35,1
292,503.2641587,48.25,1
293,505.2142388,48.66,1
294,507.061536,48.4,1
295,509.0081875,48.45,1
296,510.8730382,48.56,1
297,512.7616786,48.56,1
298,512.8155243,48.56,1
299,514.6180584,48.02,1
300,516.5641157,48.61,1
301,518.4304103,48.51,1
302,520.3466522,47.99,1
303,522.2385351,48.4,1
304,524.1814467,47.99,1
305,525.9274725,48.14,1
306,527.9101548,48.4,1
307,529.8271214,48.28,1
308,531.6835858,48.2,1
309,533.5875449,47.78,1
310,535.4370751,48.2,1
311,537.3691902,47.61,1
312,539.2565226,47.84,1
313,541.0579557,47.99,1
314,543.0502536,47.94,1
315,544.9045512,47.99,1
316,546.7348601,47.47,1
317,548.7159025,47.99,1
318,550.5797908,47.51,1
319,552.502016,47.73,1
320,554.3720426,47.84,1
321,556.2277672,47.53,1
322,558.0741429,47.73,1
323,560.0531535,48.18,1
324,561.9273643,47.71,1
325,563.7698323,47.27,1
326,565.7122092,47.68,1
327,567.5536897,48.04,1
328,569.5086905,47.1,1
329,571.3000433,47.2,1
330,571.3714671,47.2,1
331,573.2397944,47.53,1
332,575.0756828,47.01,1
333,577.0706806,47.1,1
334,578.8924341,47.42,1
335,580.8522696,46.96,1
336,582.7588155,47.16,1
337,584.558417,47.32,1
338,586.5449175,47.42,1
