,time,displacement,max_or_min
200,376.6780924,51.86,1
201,378.5916242,51.43,1
202,380.3803088,52.06,1
203,382.9626717,51.75,1
204,384.266736,51.7,1
205,386.2133285,51.19,1
206,388.0418526,52.08,1
207,390.1819035,51.6,1
208,391.8086089,51.44,1
209,393.7232241,51.13,1
210,395.6665212,51.91,1
211,397.4103669,51.75,1
212,399.3196816,51.44,1
213,401.2059752,51.13,1
214,403.4222771,52.06,1
215,405.6046509,51.7,1
216,407.357305,51.65,1
217,409.2719666,50.77,1
218,410.6191527,52.16,1
219,412.6040897,51.6,1
220,414.647546,51.08,1
221,416.2844571,50.86,1
222,418.2235839,51.7,1
223,420.1379608,51.01,1
224,422.1510104,50.88,1
225,423.9783103,50.98,1
226,426.0818159,51.29,1
227,427.6543357,51.12,1
228,429.6555156,50.98,1
229,431.5064193,50.77,1
230,433.6256935,51.03,1
231,434.4156477,30.62,1
232,435.2520253,51.01,1
233,437.1901118,50.67,1
234,439.4059271,51.29,1
235,441.0180263,50.96,1
236,442.8159699,50.67,1
237,445.4157027,50.41,1
238,446.7755589,50.62,1
239,448.7090117,50.88,1
240,450.6512269,50.26,1
241,450.6943807,50.26,1
242,452.3290185,50,1
243,455.2229127,50.7,1
244,456.0512666,50.6,1
245,458.0100128,50.72,1
246,460.0107521,50,1
247,461.814542,50.52,1
248,463.7967598,50.15,1
249,466.2586047,50.98,1
250,467.3829889,49.62,1
251,469.7126846,50.57,1
252,471.5582141,50.05,1
253,473.2462689,50.6,1
254,475.1897308,49.57,1
255,476.8941929,50.77,1
256,479.3512134,49.98,1
257,480.8016695,49.85,1
258,482.6505603,50.41,1
259,484.5798825,50.41,1
260,487.2470152,50.31,1
261,488.2969774,49.78,1
262,490.1646609,49.73,1
263,492.5772375,50.34,1
264,493.0268893,30.82,1
265,494.4422566,49.74,1
266,495.8555631,49.73,1
267,497.6836738,49.85,1
268,500.2070708,50.19,1
269,501.5033344,49.59,1
270,503.9310145,49.88,1
271,505.6705515,49.52,1
272,507.3405546,49.47,1
273,509.5135028,49.43,1
274,511.2191991,49.83,1
275,514.1493611,49.36,1
276,515.2274887,49.21,1
277,515.2612168,49.21,1
278,516.6951703,49.31,1
279,518.5416159,48.9,1
280,518.6756961,48.9,1
281,519.7683388,31.24,1
282,520.5575885,50.03,1
283,522.5196435,49.23,1
284,524.1916043,49.11,1
285,526.1276378,48.76,1
286,527.991625,49.98,1
