,time,displacement,max_or_min
0,1.10341,59.67,1.0
1,3.07479,56.46,1.0
2,5.04261,52.94,1.0
3,6.99748,50.46,1.0
4,8.95223,48.85,1.0
5,10.799439999999999,48.13,1.0
6,12.734960000000001,46.32,1.0
7,14.71679,45.12,1.0
8,16.57516,44.3,1.0
9,16.64842,44.3,1.0
10,18.64682,43.32,1.0
11,20.45587,42.96,1.0
12,22.44183,42.59,1.0
13,24.36476,42.03,1.0
14,26.34785,41.67,1.0
15,28.17728,41.1,1.0
16,30.159940000000002,40.79,1.0
17,32.14356,40.22,1.0
18,33.83762,39.95,1.0
19,33.964909999999996,39.95,1.0
20,35.90109,39.79,1.0
21,37.747659999999996,39.76,1.0
22,38.00379,39.04,1.0
23,38.84941,30.79,1.0
24,39.75645,39.02,1.0
25,41.68954,39.07,1.0
26,42.640209999999996,31.12,1.0
27,43.66115,38.81,1.0
28,45.4039,38.45,1.0
29,45.6757,38.35,1.0
30,47.42015,38.35,1.0
31,49.38183,38.35,1.0
32,51.2435,38.04,1.0
33,51.36885,38.04,1.0
34,52.32235,32.03,1.0
35,53.23079,37.89,1.0
36,55.05381,37.89,1.0
37,56.943430000000006,37.89,1.0
38,58.75609,37.32,1.0
39,59.010659999999994,37.47,1.0
40,60.961659999999995,38.04,1.0
41,62.77431,37.99,1.0
42,64.75041999999999,37.27,1.0
43,66.60868,37.22,1.0
44,66.67919,37.22,1.0
45,67.71394000000001,32.97,1.0
46,68.47957,37.47,1.0
47,70.50997,37.11,1.0
48,72.2671,37.11,1.0
49,72.44445999999999,36.91,1.0
50,73.29559,33.02,1.0
51,74.33808,37.53,1.0
52,75.3614,32.87,1.0
53,76.25604,37.01,1.0
54,76.5082,36.96,1.0
55,77.38045,33.49,1.0
56,78.10449,36.7,1.0
57,78.33049,36.96,1.0
58,79.98774,37.06,1.0
59,80.17355,36.75,1.0
60,82.04858,36.91,1.0
61,82.87406999999999,33.44,1.0
62,83.77514000000001,36.8,1.0
63,83.98249,36.65,1.0
64,85.83530999999999,36.6,1.0
65,87.81876,36.7,1.0
66,88.94899000000001,33.59,1.0
67,89.64161999999999,36.55,1.0
68,89.77028,36.55,1.0
69,90.73068,33.49,1.0
70,91.61786,36.8,1.0
71,91.81617,36.44,1.0
72,92.78619,33.85,1.0
73,93.49685,36.55,1.0
74,93.55622,36.55,1.0
75,93.75634000000001,36.03,1.0
76,94.63409,33.49,1.0
77,95.4197,36.96,1.0
78,96.33116,33.69,1.0
79,97.39587,36.24,1.0
80,98.96259,35.82,1.0
81,99.21749,36.32,1.0
82,99.48226,36.6,1.0
83,101.20631,36.44,1.0
84,103.14593,36.24,1.0
85,103.99801,33.95,1.0
86,104.69568000000001,35.77,1.0
87,104.98931,36.12,1.0
88,105.10288999999999,36.12,1.0
89,106.94708,36.74,1.0
90,107.67752,34.21,1.0
91,109.00797,36.6,1.0
92,109.52395,34.64,1.0
93,110.67112,36.27,1.0
94,110.86155,35.96,1.0
95,111.88673,34.05,1.0
96,112.70033000000001,36.19,1.0
97,113.04433999999999,35.5,1.0
98,113.11256000000002,35.5,1.0
99,113.88229,33.92,1.0
100,114.67055,36.17,1.0
101,114.95923,35.93,1.0
102,116.64415,36.39,1.0
103,117.49318999999998,34.05,1.0
104,117.96428999999999,35.15,1.0
105,118.39441000000001,35.98,1.0
106,118.6713,36.13,1.0
107,119.10273000000001,34.54,1.0
108,120.57605,36.44,1.0
109,121.29556000000001,34.0,1.0
110,121.60321,34.12,1.0
111,122.30496000000001,35.98,1.0
112,122.38141,35.98,1.0
113,122.8461,35.29,1.0
114,123.30349,34.11,1.0
115,123.74322,35.14,1.0
116,124.25368,35.88,1.0
117,125.39263999999999,34.26,1.0
118,125.91641000000001,36.03,1.0
119,126.11093000000001,36.03,1.0
120,126.2334,36.03,1.0
121,126.93173999999999,34.16,1.0
122,127.12008999999999,33.85,1.0
123,128.08896000000001,36.43,1.0
124,128.65921,34.88,1.0
125,128.87163,34.31,1.0
126,129.32585,34.47,1.0
127,129.51179,35.09,1.0
128,130.11865,36.13,1.0
129,131.88002,35.93,1.0
130,132.05832,36.19,1.0
131,132.69181,34.12,1.0
132,133.21748,34.67,1.0
133,133.60385,36.13,1.0
134,133.86337,35.96,1.0
135,134.11597,35.93,1.0
136,134.74235,34.16,1.0
137,135.58975,35.98,1.0
138,135.79213000000001,35.76,1.0
139,136.30418,35.03,1.0
140,136.81163,34.31,1.0
141,137.01093999999998,34.73,1.0
142,137.43202,35.98,1.0
143,137.61698,35.77,1.0
144,138.49201000000002,34.21,1.0
145,139.19976,35.5,1.0
146,139.3943,36.13,1.0
147,139.72463,36.29,1.0
148,140.49611000000002,34.05,1.0
149,140.75482,34.21,1.0
150,141.64506,36.19,1.0
151,141.9703,35.41,1.0
152,143.5068,35.93,1.0
153,143.82856999999998,35.4,1.0
154,145.26193999999998,35.82,1.0
155,145.64842,35.72,1.0
156,147.19329,35.82,1.0
157,147.34415,35.82,1.0
158,148.94971999999999,35.76,1.0
159,149.20105,35.57,1.0
160,149.25361999999998,35.57,1.0
161,149.4603,35.65,1.0
162,150.94236,35.6,1.0
163,150.99857,35.6,1.0
164,151.2469,35.5,1.0
165,152.95498,36.19,1.0
166,154.1019,34.33,1.0
167,154.29519,34.62,1.0
168,154.55826000000002,35.26,1.0
169,155.03288,36.07,1.0
170,155.75576,34.54,1.0
171,156.77229,35.98,1.0
172,157.17628,35.46,1.0
173,157.61687,34.47,1.0
174,158.72277,35.77,1.0
175,159.17838999999998,35.55,1.0
176,159.68855,34.21,1.0
177,160.68968999999998,35.67,1.0
178,160.81705,35.67,1.0
179,162.43062,35.82,1.0
180,162.69107,35.46,1.0
181,163.92196,34.9,1.0
182,164.50968999999998,35.67,1.0
183,165.77637,34.57,1.0
184,166.4847,35.72,1.0
185,167.57787,34.52,1.0
186,168.08989,35.62,1.0
187,168.42217,35.52,1.0
188,169.45843,34.57,1.0
189,170.16058,35.88,1.0
190,170.60788,35.46,1.0
191,171.18221,34.31,1.0
192,171.49598999999998,34.74,1.0
193,172.13798,36.08,1.0
194,172.34001999999998,36.03,1.0
195,172.52138,35.57,1.0
196,173.13635,34.36,1.0
197,173.38957,34.42,1.0
198,173.5729,34.88,1.0
199,174.07315,35.96,1.0
200,174.87978999999999,34.69,1.0
201,176.06188,35.88,1.0
202,176.57396,35.03,1.0
203,177.28677,34.83,1.0
204,177.60981999999998,35.55,1.0
205,177.92709,35.62,1.0
206,177.98662,35.62,1.0
207,179.00238000000002,34.36,1.0
208,179.83043,35.57,1.0
209,179.95561999999998,35.57,1.0
210,180.16395,35.76,1.0
211,181.68601,35.77,1.0
212,183.15355,35.1,1.0
213,183.43561,35.77,1.0
214,183.68188999999998,35.55,1.0
215,184.37981000000002,34.69,1.0
216,185.51368,35.86,1.0
217,186.23577,34.98,1.0
218,186.92934,34.78,1.0
219,187.70247,35.41,1.0
220,189.25185,35.72,1.0
221,189.50355,35.41,1.0
222,190.07295,34.88,1.0
223,190.90238,35.21,1.0
224,191.36456,35.55,1.0
225,191.8267,35.45,1.0
226,192.21254,34.57,1.0
227,193.33622,35.46,1.0
228,193.48028,35.46,1.0
229,193.67061999999999,35.55,1.0
230,194.36838,34.67,1.0
231,195.09981000000002,35.7,1.0
232,195.26596999999998,35.31,1.0
233,195.71289,35.14,1.0
234,196.71133999999998,35.46,1.0
235,197.02812,35.88,1.0
236,197.35814,35.77,1.0
237,198.38381,34.73,1.0
238,198.56688,35.21,1.0
239,199.00636,35.93,1.0
240,199.34037,35.72,1.0
241,200.24378000000002,34.74,1.0
242,200.96607,35.67,1.0
243,201.70561,34.9,1.0
244,202.82074,35.4,1.0
245,202.88995,35.4,1.0
246,203.4491,35.0,1.0
247,203.63476,34.64,1.0
248,204.35241000000002,35.29,1.0
249,204.55039,35.65,1.0
250,204.73648,35.46,1.0
251,204.84906999999998,35.46,1.0
252,206.73541,35.31,1.0
253,206.93326000000002,35.26,1.0
254,207.24373,35.26,1.0
255,207.52007,34.78,1.0
256,208.66553000000002,35.7,1.0
257,209.49999,34.62,1.0
258,209.62527,34.62,1.0
259,210.32733,35.72,1.0
260,210.64401,35.88,1.0
261,211.04875,35.26,1.0
262,212.00297,35.03,1.0
263,212.58792999999997,35.41,1.0
264,213.00097999999997,35.26,1.0
265,213.64843,34.47,1.0
