n,time,displacement,max_or_min
8,0,30.19,1
9,1.9287932,30.55,1
10,3.755934,31.07,1
11,4.7055807,8.01,1
12,5.702347,30.86,1
13,7.5123983,30.81,1
14,9.3501189,30.07,1
15,11.3163231,30.6,1
16,13.1264832,30.45,1
17,15.0873549,30.45,1
18,17.0369721,29.47,1
19,18.829191,30.34,1
20,20.6759787,29.88,1
21,22.624758,29.62,1
22,24.5271196,29.73,1
23,26.3919036,29.88,1
24,28.3170691,29.93,1
25,30.1824513,29.78,1
26,32.0803027,28.95,1
27,34.0435574,29.62,1
28,35.8632753,29.21,1
29,37.7733691,29.52,1
30,39.6074677,28.64,1
31,41.5414116,29.52,1
32,43.4126682,28.9,1
33,45.3335319,28.85,1
34,47.2490804,28.75,1
35,49.0891528,29.26,1
36,51.0686183,29,1
37,52.895999,28.64,1
38,54.7037788,28.44,1
39,56.670584,28.9,1
40,58.5939133,28.49,1
41,60.4080079,29.31,1
42,62.3611288,28.28,1
43,64.1646214,28.59,1
44,66.1379943,28.28,1
45,67.9536243,28.44,1
46,69.8823521,28.08,1
47,71.7350652,28.75,1
48,73.6453815,27.97,1
49,75.5889204,27.82,1
50,77.4084981,27.82,1
51,79.3785362,28.23,1
52,81.2295895,28.13,1
53,83.1418936,27.65,1
54,84.9678619,27.61,1
55,86.928885,27.97,1
56,88.744165,27.35,1
57,90.7914741,27.92,1
58,92.488657,27.61,1
59,94.4603248,27.77,1
60,96.267973,27.15,1
61,98.3080137,27.82,1
62,100.1821117,27.2,1
63,101.9652593,27.61,1
64,103.9081085,27.13,1
65,105.7599044,26.99,1
66,107.7006641,27.04,1
67,109.4985292,27.35,1
68,111.4734404,26.99,1
69,113.413652,26.94,1
70,115.2292974,27.3,1
71,117.0666676,26.98,1
72,118.8811209,26.89,1
73,119.0023327,26.89,1
74,120.9335141,26.89,1
75,122.7648001,26.63,1
76,124.6305726,26.79,1
77,126.5373199,26.53,1
78,128.4573855,26.63,1
79,130.3840408,26.53,1
80,132.3004418,26.92,1
81,134.0960643,26.79,1
82,136.1075456,26.15,1
83,138.0215986,26.77,1
84,139.9585276,26.58,1
85,141.7127831,26.31,1
86,143.6819306,26.07,1
87,145.4832945,26.32,1
88,147.3477614,26.1,1
89,149.2666566,26.27,1
90,151.1171112,26.12,1
91,152.9409614,26.32,1
92,154.9630101,26.05,1
93,156.8463066,26.41,1
94,158.7120283,25.95,1
95,160.5638809,26.84,1
96,162.5172911,25.86,1
97,164.3138871,26.79,1
98,166.1825144,25.55,1
99,168.0910833,26.12,1
100,170.0275195,26.27,1
101,171.9907308,26.01,1
102,173.8487733,25.69,1
103,175.7445119,25.65,1
104,177.5612223,25.6,1
105,179.5277088,26.07,1
106,181.3399394,25.64,1
107,183.3063488,25.45,1
108,185.1322258,25.55,1
109,187.0510352,26.27,1
110,188.8968954,25.43,1
111,190.8300979,25.86,1
112,192.6397534,25.24,1
113,194.6202314,25.81,1
114,196.528784,25.6,1
116,198.3437777,25.29,1
117,200.3269317,25.24,1
118,202.1358624,25.55,1
119,203.9712913,25.4,1
121,206.024056,25.33,1
122,207.8362923,25.02,1
123,209.6651325,25.43,1
124,211.6299224,25.02,1
125,213.4676821,25.22,1
126,215.3594039,24.6,1
127,217.3363047,25.29,1
128,219.1597769,24.83,1
129,221.0792639,25.24,1
130,222.9016366,24.76,1
131,224.8848705,24.78,1
132,226.7194121,24.78,1
133,228.6290825,24.73,1
134,230.4546337,25.02,1
135,232.4206045,24.6,1
136,234.3409796,24.93,1
137,236.0554011,24.66,1
138,238.0223112,24.5,1
139,238.1306744,24.5,1
140,240.018193,24.6,1
141,241.7901726,24.83,1
142,243.7136192,24.4,1
143,245.6632769,24.45,1
144,247.5577326,25.03,1
145,249.4099054,24.71,1
146,251.3799923,24.57,1
147,253.1674204,24.36,1
148,255.0204072,24.3,1
149,256.8354647,24.3,1
150,258.8159616,24.09,1
151,258.8685377,24.09,1
152,260.7027085,24.24,1
153,262.567349,24.14,1
154,262.6768937,24.14,1
155,264.475266,24.5,1
156,266.4627044,24.09,1
157,268.2930698,24.14,1
158,270.2071951,24.09,1
159,272.015024,23.93,1
160,273.9790459,24.4,1
161,275.7932355,24.45,1
162,277.6163137,24.21,1
163,279.568748,23.83,1
164,281.535332,23.93,1
165,283.3341041,23.88,1
166,285.309865,23.93,1
167,287.2131753,24.09,1
168,289.0781441,23.73,1
169,290.8645389,24.16,1
170,292.9453197,23.52,1
171,294.7576704,24.14,1
172,296.6143198,23.68,1
173,298.5357134,24.14,1
174,300.3565061,23.63,1
175,302.2760275,24.09,1
176,304.165724,23.99,1
177,306.0947807,24.09,1
178,308.0144398,23.52,1
179,309.8263698,23.57,1
180,311.6880834,23.42,1
181,313.5925231,23.57,1
182,315.4805186,23.87,1
183,317.3842392,23.52,1
184,319.3084824,23.88,1
185,321.1625421,23.49,1
186,323.0845459,23.42,1
187,324.9431625,23.42,1
188,326.7318826,23.57,1
189,328.6669448,24.24,1
190,330.5253065,23.59,1
191,332.4806686,23.26,1
192,334.4091525,23.32,1
193,336.35093,23.52,1
194,338.1935153,23.73,1
195,339.9801941,23.16,1
196,341.9208558,23.26,1
197,343.8825908,23.52,1
198,345.6265378,23.21,1
199,345.6825848,23.21,1
200,347.640301,23.16,1
201,349.4894567,23.09,1
202,351.2944079,23.47,1
203,353.2703691,23.04,1
204,355.1772158,23.11,1
205,356.9221649,23.01,1
206,357.1404052,22.9,1
207,358.8448749,23.32,1
208,360.7854416,23.06,1
209,362.7184305,22.96,1
210,364.5377934,23.01,1
211,366.470274,22.96,1
212,368.3548768,23.37,1
213,370.1532085,23.06,1
214,372.0767877,22.9,1
215,373.9458263,23.01,1
216,374.1596806,23.16,1
217,375.8600526,22.8,1
218,377.8372839,22.8,1
219,379.7445138,23.38,1
220,381.5580878,22.9,1
221,382.5150042,11.65,1
222,383.5022214,22.85,1
223,385.3612294,22.7,1
224,387.3073166,22.9,1
225,389.1111021,22.8,1
226,391.0359736,22.8,1
227,392.8910344,22.75,1
228,394.8389342,22.8,1
229,396.756269,23.16,1
230,398.7067783,22.78,1
231,400.4263868,22.59,1
232,402.3512349,22.75,1
233,403.2975166,10.91,1
234,404.275589,22.7,1
235,406.1280382,22.54,1
236,408.0561264,22.65,1
237,409.8807457,22.65,1
238,411.8290932,22.7,1
239,413.6977191,22.59,1
240,415.6030288,22.96,1
241,417.5647228,22.96,1
242,419.3950014,23.06,1
243,421.3346448,22.49,1
244,423.1573591,23.01,1
245,425.0007517,22.49,1
246,426.9123049,22.54,1
247,428.8488379,22.8,1
248,430.6765375,22.44,1
249,432.6095817,22.49,1
250,434.3400903,22.49,1
251,436.3766751,22.44,1
252,438.2094083,22.44,1
253,440.1468687,22.9,1
254,442.0162566,22.44,1
255,443.9428592,22.29,1
256,445.7841458,22.39,1
257,447.6966686,22.75,1
258,449.5420232,22.34,1
259,449.6554849,22.34,1
260,451.606899,22.37,1
261,453.4110665,22.63,1
262,455.2470439,22.39,1
263,457.1031625,22.23,1
264,457.2098031,22.23,1
265,459.0132117,22.75,1
266,460.9595585,22.29,1
267,462.7785456,22.65,1
268,464.7032402,22.29,1
269,466.4505949,21.77,1
270,466.67693,22.08,1
271,468.5282774,22.29,1
272,470.3347662,22.23,1
273,472.1404569,22.44,1
274,474.1262913,22.18,1
275,476.0381641,22.23,1
276,477.844532,22.13,1
277,477.9523678,22.13,1
278,479.8899984,22.34,1
279,481.6320479,22.08,1
280,481.7406716,22.08,1
281,483.5967491,22.16,1
282,485.5170298,22.13,1
283,487.3677862,22.03,1
284,489.2878969,22.08,1
