,time,displacement,max_or_min
0,0.40998,7.15,1.0
1,0.91356,10.0,1.0
2,1.6285100000000001,8.85,1.0
3,2.2046200000000002,8.13,1.0
4,2.51133,9.78,1.0
5,2.72402,6.27,1.0
6,3.8248,55.74,1.0
7,5.8800300000000005,46.07,1.0
8,8.06259,41.2,1.0
9,10.12964,39.12,1.0
10,12.187619999999999,38.04,1.0
11,14.313020000000002,37.16,1.0
12,16.29749,37.01,1.0
13,18.35321,36.86,1.0
14,18.536179999999998,36.01,1.0
15,20.53089,35.7,1.0
16,21.56165,31.31,1.0
17,22.44332,35.67,1.0
18,23.604029999999998,32.25,1.0
19,24.63091,35.52,1.0
20,25.73842,32.2,1.0
21,26.60613,35.29,1.0
22,27.92285,32.97,1.0
23,28.257590000000004,34.36,1.0
24,28.5351,34.85,1.0
25,28.75422,34.78,1.0
26,29.29669,33.28,1.0
27,30.61308,34.95,1.0
28,31.4133,32.23,1.0
29,32.6283,34.62,1.0
30,32.76165,34.62,1.0
31,33.10964,34.21,1.0
32,34.18548,33.54,1.0
33,34.65866,34.98,1.0
34,34.98895,34.57,1.0
35,35.8512,32.1,1.0
36,36.709,34.42,1.0
37,36.85212,34.47,1.0
38,37.89228,32.97,1.0
39,38.28774,34.05,1.0
40,38.617490000000004,34.52,1.0
41,38.90528,34.57,1.0
42,39.26239,34.16,1.0
43,39.65875,32.87,1.0
44,40.86867,34.31,1.0
45,41.29708,33.95,1.0
46,41.88319,32.35,1.0
47,42.62964,34.0,1.0
48,42.92494,34.52,1.0
49,43.122409999999995,34.36,1.0
50,43.39028,33.9,1.0
51,43.6384,33.13,1.0
52,44.250029999999995,33.02,1.0
53,44.66726,34.42,1.0
54,44.88436,34.21,1.0
55,45.01968,34.21,1.0
56,45.206340000000004,34.0,1.0
57,46.0057,32.66,1.0
58,46.20612,32.9,1.0
59,46.42815,33.59,1.0
60,46.62209,34.0,1.0
61,46.97184,34.47,1.0
62,47.56128,33.59,1.0
63,47.998059999999995,32.46,1.0
64,48.58253,33.64,1.0
65,48.91556,34.42,1.0
66,49.23772,34.42,1.0
67,49.41644,33.95,1.0
68,49.92021,33.08,1.0
69,50.1341,32.61,1.0
70,50.86667,34.36,1.0
71,51.07951,34.21,1.0
72,51.14403,34.21,1.0
73,52.10667,32.82,1.0
74,52.230940000000004,32.82,1.0
75,52.733630000000005,34.05,1.0
76,52.99906,34.05,1.0
77,53.201319999999996,34.47,1.0
78,54.320530000000005,32.77,1.0
79,55.05226,34.33,1.0
80,56.821909999999995,33.75,1.0
81,57.137480000000004,34.43,1.0
82,57.93573000000001,33.08,1.0
83,58.478,32.87,1.0
84,59.303059999999995,34.05,1.0
85,59.49896999999999,34.42,1.0
86,59.688019999999995,33.69,1.0
87,59.88749,33.28,1.0
88,60.5353,33.02,1.0
89,60.7333,33.8,1.0
90,61.28365,34.42,1.0
91,61.634190000000004,33.69,1.0
92,62.04849,33.33,1.0
93,62.30653,33.23,1.0
94,62.60298,33.08,1.0
95,62.79008,33.66,1.0
96,63.52352,34.21,1.0
97,64.02141,33.64,1.0
98,65.05318,33.8,1.0
99,65.45358,34.28,1.0
100,65.78381,34.31,1.0
101,66.1851,33.02,1.0
102,66.59123000000001,33.69,1.0
103,66.93174,33.71,1.0
104,67.42178,34.42,1.0
105,67.86429,33.75,1.0
106,68.36922,33.18,1.0
107,68.57729,33.49,1.0
108,69.38038,33.95,1.0
109,69.45707,33.95,1.0
110,69.66244,33.9,1.0
111,70.18448000000001,33.13,1.0
112,70.50714,32.56,1.0
113,70.81743,33.4,1.0
114,71.34956,34.59,1.0
115,71.54777,33.8,1.0
116,71.82166,33.95,1.0
117,72.16638,33.18,1.0
118,72.43514,33.18,1.0
119,72.72055,32.87,1.0
120,72.98074,33.33,1.0
121,73.20846,33.64,1.0
122,73.47465,33.8,1.0
123,73.68245,34.18,1.0
124,73.87679,33.95,1.0
125,74.3247,33.23,1.0
126,75.33946999999999,34.11,1.0
127,75.65294,33.9,1.0
128,76.24048,33.33,1.0
129,77.19142,33.59,1.0
130,77.47738000000001,33.9,1.0
131,77.59295,33.9,1.0
132,78.35112,33.44,1.0
133,78.93603,33.13,1.0
134,79.12048,33.49,1.0
135,79.58286,33.69,1.0
136,79.76852,34.11,1.0
137,80.04713000000001,33.69,1.0
138,80.38201,33.49,1.0
139,80.97837,33.38,1.0
140,81.62980999999999,33.95,1.0
141,81.82092,34.05,1.0
142,82.10709,33.8,1.0
143,82.62377,33.08,1.0
144,83.75275,34.21,1.0
145,83.87847,34.21,1.0
146,84.58149,33.13,1.0
147,84.71146,33.13,1.0
148,85.14243,33.33,1.0
149,85.33203,33.54,1.0
150,85.80568000000001,34.31,1.0
151,87.0636,33.08,1.0
152,87.35078,33.61,1.0
153,87.70701,34.0,1.0
154,87.88877,33.64,1.0
155,88.41918000000001,33.38,1.0
156,88.8215,33.28,1.0
157,89.43297,33.81,1.0
158,89.9445,33.95,1.0
159,90.3387,33.8,1.0
160,91.47877,33.49,1.0
161,91.80407,34.11,1.0
162,92.01035999999999,34.18,1.0
163,92.39350999999999,33.9,1.0
164,92.84809,33.18,1.0
165,93.31706,33.54,1.0
166,93.84255999999999,33.93,1.0
167,94.16537,34.16,1.0
168,94.37839,33.59,1.0
169,95.16863000000001,33.18,1.0
170,95.30936,33.18,1.0
171,95.99244,33.71,1.0
172,96.31174,33.85,1.0
173,96.50952,33.64,1.0
174,97.33788,33.54,1.0
175,97.67464,33.9,1.0
176,98.04767,33.9,1.0
177,98.30071,33.9,1.0
178,98.49309000000001,33.76,1.0
