,time,displacement,max_or_min
0,0.43643000000000004,6.32,1.0
1,0.62855,5.58,1.0
2,1.3903,5.19,1.0
3,3.4908900000000003,67.16,1.0
4,5.43159,64.64,1.0
5,7.290439999999999,62.63,1.0
6,9.25584,60.76,1.0
7,11.10088,59.83,1.0
8,13.07526,57.92,1.0
9,15.01569,57.18,1.0
10,16.91692,55.58,1.0
11,18.889879999999998,53.99,1.0
12,20.77426,52.85,1.0
13,22.64881,52.34,1.0
14,24.488039999999998,50.88,1.0
15,26.46198,50.31,1.0
16,28.31348,49.62,1.0
17,30.290490000000002,49.21,1.0
18,32.26232,47.92,1.0
19,34.10461,47.46,1.0
20,36.01871,47.15,1.0
21,37.89155,46.68,1.0
22,39.858290000000004,46.27,1.0
23,41.7904,45.79,1.0
24,43.636590000000005,45.17,1.0
25,45.5355,45.4,1.0
26,47.45539,44.45,1.0
27,49.42861,44.31,1.0
28,51.298190000000005,44.36,1.0
29,53.14208000000001,43.52,1.0
30,55.06961,43.11,1.0
31,56.92128,42.85,1.0
32,58.87686,42.7,1.0
33,60.7348,42.03,1.0
34,62.74267,42.23,1.0
35,64.55194,42.03,1.0
36,66.43304,41.98,1.0
37,68.40621999999999,41.62,1.0
38,70.31696,41.46,1.0
39,72.19272,41.31,1.0
40,74.1218,41.41,1.0
41,76.00551,41.0,1.0
42,77.97138000000001,40.74,1.0
43,79.73034,40.79,1.0
44,81.70545,40.48,1.0
45,81.73431,40.48,1.0
46,83.65061,40.48,1.0
47,85.44815,40.27,1.0
48,87.44901,40.15,1.0
49,89.26578,40.0,1.0
50,91.25506,39.91,1.0
51,93.12142,39.74,1.0
52,93.19086,39.74,1.0
53,94.10127,31.25,1.0
54,94.9488,40.05,1.0
55,96.0048,31.36,1.0
56,96.88278000000001,39.66,1.0
57,97.85488000000001,31.53,1.0
58,98.81033000000001,39.43,1.0
59,98.8644,39.43,1.0
60,100.61125,39.55,1.0
61,102.69682,39.33,1.0
62,104.50251999999999,39.28,1.0
63,106.48003,39.18,1.0
64,108.41378999999999,39.45,1.0
65,110.20198,39.02,1.0
66,110.26503999999998,39.02,1.0
67,112.1552,38.87,1.0
68,114.01688,38.87,1.0
69,114.07789,38.87,1.0
70,115.93373000000001,38.81,1.0
71,117.7121,38.87,1.0
72,118.83041000000001,32.2,1.0
73,119.77923999999999,38.76,1.0
74,121.60812,38.66,1.0
75,123.47968,38.52,1.0
76,124.50261,32.3,1.0
77,125.40933999999999,38.51,1.0
78,126.3305,32.41,1.0
79,126.45913,32.41,1.0
80,127.38389,38.51,1.0
81,129.34129,38.73,1.0
82,130.26225,32.61,1.0
83,131.19098,38.4,1.0
84,132.1028,32.56,1.0
85,133.03028,38.37,1.0
86,134.89656000000002,38.21,1.0
87,136.85235,38.2,1.0
88,138.69158000000002,38.14,1.0
89,138.81727,38.14,1.0
90,140.78406999999999,38.42,1.0
91,142.51523,38.09,1.0
92,142.65328,38.09,1.0
93,144.50571000000002,38.04,1.0
94,145.52858999999998,33.02,1.0
95,146.36033,37.99,1.0
96,147.34736999999998,32.92,1.0
97,148.28975,37.94,1.0
98,150.14151999999999,37.89,1.0
99,152.11121,38.25,1.0
100,153.00851,33.02,1.0
101,153.98381,37.84,1.0
102,155.684,37.89,1.0
103,155.9625,37.84,1.0
104,157.75946000000002,37.78,1.0
105,159.6252,37.68,1.0
106,159.69714,37.68,1.0
