,Unnamed: 0,Unnamed: 0.1,displacement,displacement_linearized,max_or_min,n,time
2,2,2.0,53.3,2.875824897682085,0.21164_data (1).csv,,5.3329900000000015
3,3,3.0,50.62,2.712045662942139,0.21164_data (1).csv,,7.29493
4,4,4.0,49.38,2.6261205676146395,0.21164_data (1).csv,,9.1245
5,5,5.0,47.97,2.5185067744760694,0.21164_data (1).csv,,11.16602
6,6,6.0,46.43,2.386011467918374,0.21164_data (1).csv,,13.05015
0,0,0.0,59.67,3.1909586261706853,0.21164_data (2).csv,,1.10341
1,1,1.0,56.46,3.0493546546372827,0.21164_data (2).csv,,3.07479
2,2,2.0,52.94,2.866859847012784,0.21164_data (2).csv,,5.04261
3,3,3.0,50.46,2.714808785592711,0.21164_data (2).csv,,6.99748
4,4,4.0,48.85,2.6020763217419973,0.21164_data (2).csv,,8.95223
5,5,5.0,48.13,2.547233518348257,0.21164_data (2).csv,,10.799439999999999
6,6,6.0,46.32,2.3944093977303145,0.21164_data (2).csv,,12.734960000000001
7,7,7.0,45.12,2.27846883249828,0.21164_data (2).csv,,14.71679
0,0,0.0,60.76,3.228376251083488,0.21164_data (3).csv,,0.92819
1,1,1.0,57.18,3.075404564769792,0.21164_data (3).csv,,2.8507599999999997
2,2,2.0,53.71,2.9007973587933464,0.21164_data (3).csv,,4.83585
3,3,3.0,51.13,2.7478247648896894,0.21164_data (3).csv,,6.76686
4,4,4.0,49.47,2.635382189050965,0.21164_data (3).csv,,8.766869999999999
5,5,5.0,47.51,2.4839597401930296,0.21164_data (3).csv,,10.6978
6,6,6.0,46.1,2.3588371065707987,0.21164_data (3).csv,,12.56573
7,7,7.0,45.74,2.3242137445426434,0.21164_data (3).csv,,14.50279
0,4,4.0,60.91,3.229687911621854,0.21164_data (4).csv,,2.06851
1,5,5.0,56.87,3.0554985842938636,0.21164_data (4).csv,,4.04366
2,6,6.0,53.83,2.9009692233609217,0.21164_data (4).csv,,5.97139
3,7,7.0,51.34,2.7537733630025287,0.21164_data (4).csv,,7.974589999999999
4,8,8.0,49.38,2.6204400059330712,0.21164_data (4).csv,,9.900730000000001
5,9,9.0,47.77,2.4958275255825733,0.21164_data (4).csv,,11.84341
6,10,10.0,47.04,2.4337684937868613,0.21164_data (4).csv,,13.794970000000001
0,4,4.0,59.73,3.253457285071386,0.31746_data (1).csv,,1.9658900000000001
1,5,5.0,53.4,2.9729578328674298,0.31746_data (1).csv,,4.034
2,6,6.0,49.67,2.7612533935735653,0.31746_data (1).csv,,5.95695
3,7,7.0,46.15,2.509571521001924,0.31746_data (1).csv,,7.89031
4,8,8.0,44.04,2.3213733614730683,0.31746_data (1).csv,,9.98208
5,9,9.0,42.47,2.1540454998785132,0.31746_data (1).csv,,11.91639
6,10,10.0,41.25,2.0014338891203467,0.31746_data (1).csv,,13.909429999999999
0,2,2.0,59.83,3.2558680885797564,0.31746_data (2).csv,,1.76585
1,3,3.0,53.2,2.960733127901868,0.31746_data (2).csv,,3.7231099999999997
2,4,4.0,49.47,2.7461244126850213,0.31746_data (2).csv,,5.79031
3,5,5.0,46.32,2.5202838341489784,0.31746_data (2).csv,,7.740239999999999
4,6,6.0,44.24,2.3371917956859565,0.31746_data (2).csv,,9.65738
5,7,7.0,42.59,2.163567228532213,0.31746_data (2).csv,,11.66184
6,8,8.0,41.19,1.9881653776391184,0.31746_data (2).csv,,13.56676
0,2,2.0,57.77,3.1865893570089145,0.31746_data (3).csv,,1.7418799999999999
1,3,3.0,52.11,2.9202395412651843,0.31746_data (3).csv,,3.677
2,4,4.0,48.35,2.6936624855468554,0.31746_data (3).csv,,5.74845
3,5,5.0,45.26,2.4592237662140595,0.31746_data (3).csv,,7.68098
4,6,6.0,43.59,2.305154728171392,0.31746_data (3).csv,,9.63653
5,7,7.0,42.22,2.158221459507704,0.31746_data (3).csv,,11.61209
6,8,8.0,41.63,2.087624147065603,0.31746_data (3).csv,,13.58283
0,6,6.0,58.52,3.2063834407922407,0.31746_data (4).csv,,3.25267
1,7,7.0,52.73,2.939142506321601,0.31746_data (4).csv,,5.20555
2,8,8.0,52.73,2.939142506321601,0.31746_data (4).csv,,5.27647
3,9,9.0,49.05,2.7225862421560847,0.31746_data (4).csv,,7.266539999999999
4,10,10.0,45.38,2.446653665554078,0.31746_data (4).csv,,9.18238
5,11,11.0,44.33,2.351340308552861,0.31746_data (4).csv,,11.19939
6,12,12.0,42.27,2.1329388297006853,0.31746_data (4).csv,,13.115770000000001
0,3,3.0,57.97,3.1520058605048002,0.42328_data (1).csv,,2.07423
1,4,4.0,51.29,2.8155835812999506,0.42328_data (1).csv,,4.03
2,5,5.0,46.37,2.4666510633445884,0.42328_data (1).csv,,6.0626
