,n,time,displacement,max_or_min,displacement_linearized
1,3,1.504892729,30.72,shortpend_0.00126_2_data.csv,2.633784976125955
2,5,3.43522229,30.5,shortpend_0.00126_2_data.csv,2.6178615122431452
3,7,5.3079575519999995,29.93,shortpend_0.00126_2_data.csv,2.575385578903257
4,8,7.2101947289999995,30.57,shortpend_0.00126_2_data.csv,2.622955625409733
5,9,9.147434852,31.49,shortpend_0.00126_2_data.csv,2.687601292976861
6,10,10.96979751,29.83,shortpend_0.00126_2_data.csv,2.5677440098270505
7,11,12.82294264,30.03,shortpend_0.00126_2_data.csv,2.58296919695839
8,12,14.78758158,30.14,shortpend_0.00126_2_data.csv,2.5912452839524733
