,Unnamed: 0,time,displacement,max_or_min,displacement_linearized
2,2,1.82526,57.54,0.5291_data (1).csv,3.1584820530272366
3,3,3.89401,47.92,0.5291_data (1).csv,2.6329561951913973
4,4,5.91817,43.37,0.5291_data (1).csv,2.2369626946304284
5,5,8.02489,41.86,0.5291_data (1).csv,2.0611304313890813
6,6,10.03228,39.81,0.5291_data (1).csv,1.7586927682510072
7,7,12.02179,38.56,0.5291_data (1).csv,1.5161913162614473
8,8,12.08675,38.56,0.5291_data (1).csv,1.5161913162614473
10,10,14.0412,37.89,0.5291_data (1).csv,1.3570828686891832
