,Unnamed: 0,time,displacement,max_or_min,displacement_linearized
4,4,1.96589,59.73,0.31746_data (1).csv,3.288527877844883
5,5,4.034,53.4,0.31746_data (1).csv,3.0191253471583552
6,6,5.95695,49.67,0.31746_data (1).csv,2.818002762371808
7,7,7.89031,46.15,0.31746_data (1).csv,2.5819862294554867
8,8,9.98208,44.04,0.31746_data (1).csv,2.4081494956811302
9,9,11.91639,42.47,0.31746_data (1).csv,2.255847380222728
10,10,13.90943,41.25,0.31746_data (1).csv,2.1190680322908237
