,n,time,displacement,max_or_min,displacement_linearized
0,5,4.385598623,31.19,shortpend_0.00126_3_data.csv,2.6631137789695507
1,6,6.195396626,30.67,shortpend_0.00126_3_data.csv,2.6261800551747214
2,8,8.156603062,30.62,shortpend_0.00126_3_data.csv,2.6225557791866123
3,10,9.987531626,30.77,shortpend_0.00126_3_data.csv,2.633389437468122
4,12,11.90492316,30.4,shortpend_0.00126_3_data.csv,2.6064510441900515
5,13,13.73388501,29.83,shortpend_0.00126_3_data.csv,2.563477040341756
6,14,13.84697601,29.83,shortpend_0.00126_3_data.csv,2.563477040341756
