,n,time,displacement,max_or_min,displacement_linearized
0,8,0.0,30.19,shortpend_0.00126_1_data.csv,2.594969238938765
1,9,1.9287932,30.55,shortpend_0.00126_1_data.csv,2.621487834165338
2,10,3.7559339999999994,31.07,shortpend_0.00126_1_data.csv,2.658592083116417
4,12,5.7023470000000005,30.86,shortpend_0.00126_1_data.csv,2.6437729986713947
5,13,7.512398299999999,30.81,shortpend_0.00126_1_data.csv,2.6402120394313293
6,14,9.3501189,30.07,shortpend_0.00126_1_data.csv,2.5859710961283535
7,15,11.3163231,30.6,shortpend_0.00126_1_data.csv,2.6251159757317577
8,16,13.1264832,30.45,shortpend_0.00126_1_data.csv,2.6141918203908667
