,Unnamed: 0,time,displacement,max_or_min,displacement_linearized
4,4,2.06851,60.91,0.21164_data (4).csv,3.252339647079687
5,5,4.04366,56.87,0.21164_data (4).csv,3.0824030066380126
6,6,5.97139,53.83,0.21164_data (4).csv,2.93229985263489
7,7,7.974589999999999,51.34,0.21164_data (4).csv,2.789983480717375
8,8,9.90073,49.38,0.21164_data (4).csv,2.6617095940435287
9,9,11.84341,47.77,0.21164_data (4).csv,2.5424481592426353
10,10,13.79497,47.04,0.21164_data (4).csv,2.48330126628607
